Feature,Value,Slices,WOE,Target Probability
Initial,,,,0.10254625515120358
p1_approach,y,"[0, 1, 2, 3, 4, 5]",80.12963138326636,0.4196538167955456
p1_gesture,None,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",39.70979016386145,0.643401177465087
p2_body,slightly_facing,"[1, 2, 3, 4, 5, 6, 7, 8]",19.88848300755775,0.7404110884035865
p1_body,strongly_facing,"[4, 5, 6, 7, 8]",8.428805894998991,0.7759444141842946
p1_body,strongly_facing,"[0, 1, 2]",1.8037116671684863,0.7830821182878631
p1_approach,y,"[7, 8]",0.7768702032875419,0.7861052819692331
p1_head,central,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",0.03422267570843076,0.7862377504333071
p1_body,slightly_facing,[3],0.028689246573215848,0.7863487541723376
p1_approach,m,[6],-0.13888389465647757,0.7858109976183552
p2_approach,m,[6],-5.531317280908608,0.7635955584081897
p2_approach,y,"[7, 8]",-6.038192490826808,0.7375860772107016
dist,range_9_12,"[4, 5, 6, 7, 8]",-1.4297542032243185,0.7311644162230091
dist,range_12_15,"[0, 1, 2, 3]",74.85406223728955,0.9384348142939142
p2_head,central,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",0.6103020245709707,0.9392417243608956
p2_body,strongly_facing,[0],-2.712320611479671,0.9355784071682216
p2_gesture,arm_raise_high,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",-14.602936342824194,0.912093683889547
p2_approach,y,"[0, 1, 2, 3, 4, 5]",8.915171553060327,0.9272200534386802
