scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.28,nan,3.24,4.72,1.0,2.0,2.16,nan
0102,nan,nan,2.32,2.84,1.2,nan,2.2,nan
0105,nan,nan,3.16,3.8,nan,2.08,2.36,nan
0106,nan,nan,2.8,4.12,1.4,2.04,2.12,1.48
0107,nan,2.32,4.44,4.96,1.36,1.48,1.52,nan
0108,nan,nan,4.0,nan,nan,nan,2.0,nan
0201,nan,nan,2.64,2.98,1.52,2.04,2.2,nan
0203,nan,1.84,3.16,4.84,1.16,2.0,1.56,nan
03a02,nan,nan,2.84,4.24,1.32,nan,2.28,nan
03a03,nan,nan,2.92,4.48,1.28,2.04,2.16,nan
03a04,nan,nan,2.76,3.38,1.32,1.76,2.24,nan
03a06,nan,nan,2.56,4.96,nan,1.52,2.12,nan
03a07,nan,nan,4.0,nan,nan,nan,2.08,nan
03a08,nan,nan,3.08,nan,nan,nan,2.56,nan
03b05,nan,1.56,1.96,3.64,1.96,2.36,2.28,nan
03b06,nan,nan,1.76,4.48,nan,2.68,2.52,nan
03b07,nan,nan,1.96,4.56,nan,2.92,2.32,nan
03b12,nan,nan,1.84,4.72,2.64,nan,2.16,nan
0402,1.44,1.88,2.72,3.74,1.9333,2.28,2.2,nan
0403,nan,nan,3.36,5.0,2.12,nan,1.68,nan
0404,nan,nan,2.52,3.6,nan,2.52,2.36,nan
0503,1.16,1.16,1.64,4.92,1.56,2.2,1.84,nan
0505,nan,nan,3.2,4.64,nan,1.64,2.04,nan
0506,nan,nan,2.68,4.52,nan,2.12,1.88,nan
0508,nan,2.08,2.48,3.52,1.36,nan,2.0,nan
0603,1.56,nan,2.28,2.48,1.48,1.8,2.36,nan
