scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.44,nan,4.56,4.76,1.0,3.2,3.92,nan
0102,nan,nan,3.68,4.12,1.48,nan,3.8,nan
0105,nan,nan,4.44,4.48,nan,2.84,3.96,nan
0106,nan,nan,4.2,4.5333,1.6,2.96,3.68,4.08
0107,nan,3.08,4.56,4.8,1.36,2.68,3.84,nan
0108,nan,nan,4.76,nan,nan,nan,4.08,nan
0201,nan,nan,4.0,3.84,1.8,2.92,3.64,nan
0203,nan,2.52,4.48,4.8,1.32,2.92,4.32,nan
03a02,nan,nan,4.24,4.48,1.52,nan,4.04,nan
03a03,nan,nan,4.32,4.66,1.48,3.08,4.16,nan
03a04,nan,nan,4.12,4.28,1.56,2.64,3.76,nan
03a06,nan,nan,4.12,4.8,nan,2.36,4.0,nan
03a07,nan,nan,4.24,nan,nan,nan,4.52,nan
03a08,nan,nan,4.44,nan,nan,nan,3.96,nan
03b05,nan,1.68,2.84,4.2,2.84,3.6,3.4,nan
03b06,nan,nan,2.64,4.4,nan,3.92,4.08,nan
03b07,nan,nan,2.88,4.56,nan,4.2,4.24,nan
03b12,nan,nan,2.48,4.72,3.96,nan,3.96,nan
0402,1.52,2.4,4.04,4.34,1.8533,3.04,4.16,nan
0403,nan,nan,4.56,4.72,2.36,nan,4.16,nan
0404,nan,nan,2.84,4.16,nan,4.64,4.64,nan
0503,1.2,1.16,2.56,4.52,1.8,3.6,3.64,nan
0505,nan,nan,4.04,4.6,nan,2.44,3.76,nan
0506,nan,nan,3.96,4.52,nan,2.88,3.96,nan
0508,nan,2.8,4.08,4.16,1.54,nan,3.56,nan
0603,1.72,nan,3.6,3.48,1.56,2.92,3.4,nan
