scene,crossing,cut,ImasF mean,ImasF std,ImasM mean,ImasM std,WtiF mean,WtiF std,WtiM mean,WtiM std
0101,M,1,1.0,0.0,1.28,0.54,1.0,0.0,1.44,0.58
0101,M,2,2.0,0.5,3.24,0.72,3.2,0.5,4.56,0.71
0101,M,3,2.16,0.75,4.72,0.54,3.92,0.76,4.76,0.66
0102,F,1,2.32,0.9,1.2,0.41,3.68,1.18,1.48,0.59
0102,F,2,2.84,0.8,2.2,0.58,4.12,0.83,3.8,0.96
0103,F,1,3.16,0.85,2.08,0.7,4.44,0.65,2.84,0.75
0103,F,2,3.8,1.04,2.36,0.86,4.48,0.77,3.96,0.93
0104,M,1,1.4,0.65,2.8,0.96,1.6,0.82,4.2,0.87
0104,M,2,2.04,0.73,3.12,1.05,2.96,0.68,4.32,0.69
0104,M,3,2.12,0.78,4.24,0.88,3.68,1.07,4.52,1.0
0104,M,4,1.48,0.65,5.0,0.0,4.08,1.04,4.76,0.83
0105,F,1,2.32,0.9,1.36,0.57,3.08,0.81,1.36,0.64
0105,F,2,4.44,0.71,1.48,0.59,4.56,0.87,2.68,0.63
0105,F,3,4.96,0.2,1.52,0.71,4.8,0.82,3.84,0.9
0106,F,1,4.0,0.96,2.0,0.82,4.76,0.44,4.08,0.91
0201,M,1,1.52,0.65,2.64,0.95,1.8,0.82,4.0,0.82
0201,M,2,2.04,0.54,2.84,0.8,2.92,0.81,4.0,0.71
0201,M,3,2.2,0.87,3.12,1.01,3.64,1.08,3.68,0.85
0202,F,1,1.84,0.75,1.16,0.37,2.52,0.87,1.32,0.63
0202,F,2,3.16,0.9,2.0,0.82,4.48,0.59,2.92,0.7
0202,F,3,4.84,0.8,1.56,1.0,4.8,0.82,4.32,1.18
0301,F,1,2.84,0.99,1.32,0.63,4.24,0.83,1.52,0.77
0301,F,2,4.24,0.93,2.28,0.79,4.48,0.92,4.04,0.89
0302,F,1,2.92,1.08,1.28,0.54,4.32,0.63,1.48,0.71
0302,F,2,4.0,0.76,2.04,0.79,4.48,0.71,3.08,0.86
0302,F,3,4.96,0.2,2.16,0.9,4.84,0.8,4.16,0.85
0303,M,1,1.32,0.56,2.76,1.13,1.56,0.77,4.12,0.93
0303,M,2,1.76,0.66,2.92,0.95,2.64,0.86,4.12,0.97
0303,M,3,2.24,0.78,3.84,0.99,3.76,1.09,4.44,0.87
0304,M,1,1.52,0.51,2.56,0.87,2.36,0.81,4.12,0.97
0304,M,2,2.12,0.78,4.96,0.2,4.0,0.82,4.8,0.82
0305,M,1,2.08,1.12,4.0,1.08,4.52,0.92,4.24,0.93
0306,F,1,3.08,1.0,2.56,0.87,4.44,0.87,3.96,0.98
0307,M,1,1.96,0.73,1.56,0.82,2.84,0.8,1.68,0.8
0307,M,2,2.36,0.86,1.96,0.68,3.6,0.82,2.84,0.85
0307,M,3,2.28,0.79,3.64,0.91,3.4,1.15,4.2,0.71
0308,F,1,1.76,0.93,2.68,0.95,2.64,1.08,3.92,0.95
0308,F,2,4.48,0.65,2.52,0.77,4.4,0.87,4.08,0.95
0309,F,1,1.96,0.89,2.92,1.0,2.88,0.88,4.2,0.87
0309,F,2,4.56,0.65,2.32,0.75,4.56,0.87,4.24,0.97
0310,F,1,1.84,0.8,2.64,0.95,2.48,1.05,3.96,0.89
0310,F,2,4.72,0.84,2.16,0.94,4.72,0.84,3.96,0.89
0401,M,1,1.76,0.78,1.44,0.71,1.6,0.96,1.52,0.71
0401,M,2,1.96,0.84,1.88,0.93,1.8,1.08,2.4,0.96
0401,M,3,2.08,1.08,2.72,1.06,2.16,1.25,4.04,0.73
0401,M,4,2.28,0.89,3.12,1.01,3.04,0.84,4.24,0.72
0401,M,5,2.2,0.96,4.36,0.76,4.16,0.75,4.44,0.92
0402,F,1,3.36,0.99,2.12,1.2,4.56,0.77,2.36,1.19
0402,F,2,5.0,0.0,1.68,0.63,4.72,0.89,4.16,0.9
0403,M,1,2.52,1.0,2.52,0.96,4.64,0.57,2.84,0.85
0403,M,2,2.36,0.95,3.6,1.04,4.64,0.57,4.16,0.9
0501,M,1,1.32,0.63,1.16,0.37,1.12,0.33,1.2,0.5
0501,M,2,1.8,0.76,1.16,0.37,2.48,0.87,1.16,0.37
0501,M,3,2.2,1.0,1.64,0.76,3.6,0.91,2.56,0.96
0501,M,4,1.84,0.8,4.92,0.28,3.64,1.22,4.52,0.96
0502,M,1,1.64,0.81,3.2,1.12,2.44,0.96,4.04,0.98
0502,M,2,2.04,0.84,4.64,0.49,3.76,0.97,4.6,0.91
0503,F,1,2.68,0.85,2.12,0.73,3.96,0.84,2.88,0.73
0503,F,2,4.52,0.71,1.88,0.93,4.52,0.92,3.96,1.02
0504,M,1,1.24,0.44,2.08,1.0,1.36,0.49,2.8,0.82
0504,M,2,1.48,0.65,2.48,0.96,1.72,0.79,4.08,0.81
0504,M,3,2.0,0.82,3.52,0.96,3.56,1.04,4.16,0.9
0601,,1,1.48,0.59,1.56,0.65,1.56,0.65,1.72,0.68
0601,,2,1.8,0.82,2.28,0.79,2.92,0.76,3.6,0.96
0601,,3,2.36,0.95,2.48,1.0,3.4,1.04,3.48,0.96
0801,,1,1.72,0.84,1.2,0.41,2.24,0.93,1.24,0.52
0801,,2,1.16,0.37,1.12,0.33,1.08,0.28,1.08,0.28
0802,,1,1.16,0.37,1.12,0.33,1.16,0.37,1.08,0.28
0802,,2,1.12,0.33,1.04,0.2,1.16,0.37,1.12,0.33
