scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.2,nan,3.8,5.0,1.0,2.0,2.2,nan
0102,nan,nan,2.4,3.2,1.4,nan,2.2,nan
0105,nan,nan,3.6,4.4,nan,2.4,2.6,nan
0106,nan,nan,2.8,4.2,1.4,2.0,2.0,1.4
0107,nan,2.6,4.6,4.8,1.6,1.4,1.4,nan
0108,nan,nan,4.0,nan,nan,nan,2.2,nan
0201,nan,nan,2.6,3.0,1.4,2.0,2.2,nan
0203,nan,1.8,3.2,4.2,1.2,2.2,2.6,nan
03a02,nan,nan,2.8,4.8,1.6,nan,2.6,nan
03a03,nan,nan,3.4,4.7,1.4,2.0,2.4,nan
03a04,nan,nan,2.8,3.7,1.4,2.2,2.2,nan
03a06,nan,nan,3.2,5.0,nan,1.6,2.6,nan
03a07,nan,nan,4.4,nan,nan,nan,2.0,nan
03a08,nan,nan,2.8,nan,nan,nan,3.0,nan
03b05,nan,1.8,2.0,4.0,2.2,2.6,2.0,nan
03b06,nan,nan,2.2,5.0,nan,2.8,2.6,nan
03b07,nan,nan,2.0,4.8,nan,3.0,2.2,nan
03b12,nan,nan,1.8,4.8,2.6,nan,2.0,nan
0402,1.4,2.2,3.0,4.0,2.0667,2.8,2.6,nan
0403,nan,nan,3.8,5.0,2.0,nan,1.6,nan
0404,nan,nan,2.8,3.4,nan,2.8,2.6,nan
0503,1.4,1.4,1.8,5.0,1.7,2.4,2.2,nan
0505,nan,nan,4.2,5.0,nan,2.0,2.2,nan
0506,nan,nan,3.2,4.8,nan,2.4,1.8,nan
0508,nan,2.6,3.0,4.2,1.4,nan,2.2,nan
0603,1.4,nan,2.8,2.8,1.4,2.0,2.6,nan
