code,average
rating010101[ImasM],1.2
rating010101[ImasF],1.0
rating010101[WtiM],1.2
rating010101[WtiF],1.0
rating010102[ImasM],3.8
rating010102[ImasF],2.0
rating010102[WtiM],4.4
rating010102[WtiF],3.2
rating010103[ImasM],5.0
rating010103[ImasF],2.2
rating010103[WtiM],4.4
rating010103[WtiF],4.2
realistic0101,4.6
frequency0101,3.6
rating010201[ImasM],1.4
rating010201[ImasF],2.4
rating010201[WtiM],1.6
rating010201[WtiF],4.2
rating010202[ImasM],2.2
rating010202[ImasF],3.2
rating010202[WtiM],4.0
rating010202[WtiF],4.4
realistic0102,4.2
frequency0102,3.4
rating010501[ImasM],2.4
rating010501[ImasF],3.6
rating010501[WtiM],3.0
rating010501[WtiF],4.6
rating010502[ImasM],2.6
rating010502[ImasF],4.4
rating010502[WtiM],3.8
rating010502[WtiF],4.0
realistic0105,4.4
frequency0105,3.4
rating010601[ImasM],2.8
rating010601[ImasF],1.4
rating010601[WtiM],3.8
rating010601[WtiF],1.6
rating010602[ImasM],2.8
rating010602[ImasF],2.0
rating010602[WtiM],4.4
rating010602[WtiF],3.0
rating010603[ImasM],4.8
rating010603[ImasF],2.0
rating010603[WtiM],4.2
rating010603[WtiF],3.4
rating010604[ImasM],5.0
rating010604[ImasF],1.4
rating010604[WtiM],4.2
rating010604[WtiF],3.8
realistic0106,4.6
frequency0106,3.4
rating010701[ImasM],1.6
rating010701[ImasF],2.6
rating010701[WtiM],1.6
rating010701[WtiF],3.2
rating010702[ImasM],1.4
rating010702[ImasF],4.6
rating010702[WtiM],2.6
rating010702[WtiF],3.8
rating010703[ImasM],1.4
rating010703[ImasF],4.8
rating010703[WtiM],3.8
rating010703[WtiF],4.2
realistic0107,4.4
frequency0107,3.4
rating010801[ImasM],2.2
rating010801[ImasF],4.0
rating010801[WtiM],4.0
rating010801[WtiF],4.8
realistic0108,3.8
frequency0108,2.4
rating020101[ImasM],2.6
rating020101[ImasF],1.4
rating020101[WtiM],4.0
rating020101[WtiF],1.8
rating020102[ImasM],2.8
rating020102[ImasF],2.0
rating020102[WtiM],4.0
rating020102[WtiF],2.8
rating020103[ImasM],3.2
rating020103[ImasF],2.2
rating020103[WtiM],3.6
rating020103[WtiF],3.0
realistic0201,3.0
frequency0201,2.4
rating020301[ImasM],1.2
rating020301[ImasF],1.8
rating020301[WtiM],1.4
rating020301[WtiF],2.8
rating020302[ImasM],2.2
rating020302[ImasF],3.2
rating020302[WtiM],2.8
rating020302[WtiF],4.6
rating020303[ImasM],2.6
rating020303[ImasF],4.2
rating020303[WtiM],3.8
rating020303[WtiF],4.2
realistic0203,3.8
frequency0203,2.8
rating03a0201[ImasM],1.6
rating03a0201[ImasF],2.8
rating03a0201[WtiM],1.6
rating03a0201[WtiF],4.0
rating03a0202[ImasM],2.6
rating03a0202[ImasF],4.8
rating03a0202[WtiM],3.8
rating03a0202[WtiF],3.8
realistic03a02,3.8
frequency03a02,3.0
rating03a0301[ImasM],1.4
rating03a0301[ImasF],3.4
rating03a0301[WtiM],1.8
rating03a0301[WtiF],4.2
rating03a0302[ImasM],2.0
rating03a0302[ImasF],4.4
rating03a0302[WtiM],3.0
rating03a0302[WtiF],4.2
rating03a0303[ImasM],2.4
rating03a0303[ImasF],5.0
rating03a0303[WtiM],4.2
rating03a0303[WtiF],4.2
realistic03a03,4.4
frequency03a03,3.6
rating03a0401[ImasM],2.8
rating03a0401[ImasF],1.4
rating03a0401[WtiM],4.2
rating03a0401[WtiF],1.6
rating03a0402[ImasM],3.2
rating03a0402[ImasF],2.2
rating03a0402[WtiM],4.2
rating03a0402[WtiF],2.4
rating03a0403[ImasM],4.2
rating03a0403[ImasF],2.2
rating03a0403[WtiM],4.2
rating03a0403[WtiF],3.6
realistic03a04,4.6
frequency03a04,3.0
rating03a0601[ImasM],3.2
rating03a0601[ImasF],1.6
rating03a0601[WtiM],4.2
rating03a0601[WtiF],2.6
rating03a0602[ImasM],5.0
rating03a0602[ImasF],2.6
rating03a0602[WtiM],4.2
rating03a0602[WtiF],3.8
realistic03a06,4.6
frequency03a06,3.8
rating03a0701[ImasM],4.4
rating03a0701[ImasF],2.0
rating03a0701[WtiM],3.8
rating03a0701[WtiF],3.8
realistic03a07,3.8
frequency03a07,3.0
rating03a0801[ImasM],3.0
rating03a0801[ImasF],2.8
rating03a0801[WtiM],4.0
rating03a0801[WtiF],3.8
realistic03a08,4.4
frequency03a08,3.2
rating03b0501[ImasM],1.8
rating03b0501[ImasF],2.2
rating03b0501[WtiM],1.8
rating03b0501[WtiF],3.4
rating03b0502[ImasM],2.0
rating03b0502[ImasF],2.6
rating03b0502[WtiM],2.8
rating03b0502[WtiF],3.8
rating03b0503[ImasM],4.0
rating03b0503[ImasF],2.0
rating03b0503[WtiM],3.8
rating03b0503[WtiF],3.2
realistic03b05,4.2
frequency03b05,3.0
rating03b0601[ImasM],2.8
rating03b0601[ImasF],2.2
rating03b0601[WtiM],4.2
rating03b0601[WtiF],2.8
rating03b0602[ImasM],2.6
rating03b0602[ImasF],5.0
rating03b0602[WtiM],4.0
rating03b0602[WtiF],4.2
realistic03b06,4.4
frequency03b06,3.6
rating03b0701[ImasM],3.0
rating03b0701[ImasF],2.0
rating03b0701[WtiM],4.4
rating03b0701[WtiF],3.2
rating03b0702[ImasM],2.2
rating03b0702[ImasF],4.8
rating03b0702[WtiM],4.2
rating03b0702[WtiF],4.2
realistic03b07,4.4
frequency03b07,3.2
rating03b1201[ImasM],2.6
rating03b1201[ImasF],1.8
rating03b1201[WtiM],4.0
rating03b1201[WtiF],2.2
rating03b1202[ImasM],2.0
rating03b1202[ImasF],4.8
rating03b1202[WtiM],3.8
rating03b1202[WtiF],4.2
realistic03b12,4.6
frequency03b12,3.2
rating040201[ImasM],1.4
rating040201[ImasF],2.0
rating040201[WtiM],1.4
rating040201[WtiF],1.4
rating040202[ImasM],2.2
rating040202[ImasF],2.0
rating040202[WtiM],2.8
rating040202[WtiF],1.4
rating040203[ImasM],3.0
rating040203[ImasF],2.2
rating040203[WtiM],4.2
rating040203[WtiF],2.2
rating040204[ImasM],3.2
rating040204[ImasF],2.8
rating040204[WtiM],4.2
rating040204[WtiF],3.2
rating040205[ImasM],4.8
rating040205[ImasF],2.6
rating040205[WtiM],4.0
rating040205[WtiF],4.2
realistic0402,4.6
frequency0402,3.2
rating040301[ImasM],2.0
rating040301[ImasF],3.8
rating040301[WtiM],2.0
rating040301[WtiF],4.6
rating040302[ImasM],1.6
rating040302[ImasF],5.0
rating040302[WtiM],4.0
rating040302[WtiF],4.2
realistic0403,4.8
frequency0403,3.0
rating040401[ImasM],2.8
rating040401[ImasF],2.8
rating040401[WtiM],3.0
rating040401[WtiF],4.4
rating040402[ImasM],3.4
rating040402[ImasF],2.6
rating040402[WtiM],4.2
rating040402[WtiF],4.4
realistic0404,4.4
frequency0404,3.2
rating050301[ImasM],1.4
rating050301[ImasF],1.4
rating050301[WtiM],1.4
rating050301[WtiF],1.2
rating050302[ImasM],1.4
rating050302[ImasF],2.0
rating050302[WtiM],1.4
rating050302[WtiF],2.4
rating050303[ImasM],1.8
rating050303[ImasF],2.4
rating050303[WtiM],3.0
rating050303[WtiF],3.8
rating050304[ImasM],5.0
rating050304[ImasF],2.2
rating050304[WtiM],4.0
rating050304[WtiF],3.4
realistic0503,4.6
frequency0503,3.4
rating050501[ImasM],4.2
rating050501[ImasF],2.0
rating050501[WtiM],4.0
rating050501[WtiF],2.4
rating050502[ImasM],5.0
rating050502[ImasF],2.2
rating050502[WtiM],4.2
rating050502[WtiF],3.8
realistic0505,3.8
frequency0505,2.8
rating050601[ImasM],2.4
rating050601[ImasF],3.2
rating050601[WtiM],3.0
rating050601[WtiF],4.0
rating050602[ImasM],1.8
rating050602[ImasF],4.8
rating050602[WtiM],3.8
rating050602[WtiF],4.0
realistic0506,4.0
frequency0506,3.0
rating050801[ImasM],2.6
rating050801[ImasF],1.4
rating050801[WtiM],3.2
rating050801[WtiF],1.4
rating050802[ImasM],3.0
rating050802[ImasF],1.4
rating050802[WtiM],4.4
rating050802[WtiF],1.8
rating050803[ImasM],4.2
rating050803[ImasF],2.2
rating050803[WtiM],3.8
rating050803[WtiF],3.4
realistic0508,4.2
frequency0508,2.8
rating060301[ImasM],1.4
rating060301[ImasF],1.4
rating060301[WtiM],1.4
rating060301[WtiF],1.2
rating060302[ImasM],2.8
rating060302[ImasF],2.0
rating060302[WtiM],3.6
rating060302[WtiF],3.0
rating060303[ImasM],2.8
rating060303[ImasF],2.6
rating060303[WtiM],3.6
rating060303[WtiF],3.4
realistic0603,4.6
frequency0603,3.4
rating080101[ImasM],1.4
rating080101[ImasF],1.8
rating080101[WtiM],1.4
rating080101[WtiF],2.4
rating080102[ImasM],1.2
rating080102[ImasF],1.4
rating080102[WtiM],1.2
rating080102[WtiF],1.2
realistic0801,5.0
frequency0801,5.0
rating080201[ImasM],1.4
rating080201[ImasF],1.2
rating080201[WtiM],1.2
rating080201[WtiF],1.2
rating080202[ImasM],1.2
rating080202[ImasF],1.2
rating080202[WtiM],1.4
rating080202[WtiF],1.2
realistic0802,5.0
frequency0802,5.0
