scene,crossing,cut,ImasF mean,ImasF std,ImasM mean,ImasM std,WtiF mean,WtiF std,WtiM mean,WtiM std
0101,M,1,1.0,0.0,1.2,0.45,1.0,0.0,1.2,0.45
0101,M,2,2.0,0.71,3.8,0.84,3.2,0.84,4.4,0.89
0101,M,3,2.2,0.84,5.0,0.0,4.2,0.84,4.4,1.34
0102,F,1,2.4,1.14,1.4,0.55,4.2,0.84,1.6,0.55
0102,F,2,3.2,0.84,2.2,0.45,4.4,0.55,4.0,0.71
0103,F,1,3.6,0.89,2.4,0.55,4.6,0.55,3.0,1.0
0103,F,2,4.4,0.55,2.6,1.14,4.0,1.22,3.8,1.3
0104,M,1,1.4,0.55,2.8,0.84,1.6,0.55,3.8,1.1
0104,M,2,2.0,1.0,2.8,1.3,3.0,1.0,4.4,0.55
0104,M,3,2.0,1.22,4.8,0.45,3.4,1.52,4.2,1.79
0104,M,4,1.4,0.89,5.0,0.0,3.8,1.79,4.2,1.79
0105,F,1,2.6,0.55,1.6,0.89,3.2,0.84,1.6,0.89
0105,F,2,4.6,0.55,1.4,0.55,3.8,1.64,2.6,0.55
0105,F,3,4.8,0.45,1.4,0.89,4.2,1.79,3.8,1.3
0106,F,1,4.0,1.22,2.2,1.3,4.8,0.45,4.0,1.41
0201,M,1,1.4,0.55,2.6,0.89,1.8,0.84,4.0,1.22
0201,M,2,2.0,0.71,2.8,0.84,2.8,1.1,4.0,0.71
0201,M,3,2.2,1.3,3.2,1.3,3.0,1.22,3.6,0.89
0202,F,1,1.8,0.84,1.2,0.45,2.8,0.84,1.4,0.89
0202,F,2,3.2,0.84,2.2,1.3,4.6,0.55,2.8,0.84
0202,F,3,4.2,1.79,2.6,1.82,4.2,1.79,3.8,1.79
0301,F,1,2.8,0.84,1.6,0.89,4.0,1.22,1.6,0.89
0301,F,2,4.8,0.45,2.6,1.14,3.8,1.64,3.8,1.3
0302,F,1,3.4,1.14,1.4,0.55,4.2,0.84,1.8,0.84
0302,F,2,4.4,0.55,2.0,1.0,4.2,1.3,3.0,1.0
0302,F,3,5.0,0.0,2.4,1.14,4.2,1.79,4.2,1.3
0303,M,1,1.4,0.55,2.8,1.1,1.6,0.89,4.2,1.3
0303,M,2,2.2,0.84,3.2,0.84,2.4,0.89,4.2,0.84
0303,M,3,2.2,1.1,4.2,0.45,3.6,1.34,4.2,1.3
0304,M,1,1.6,0.55,3.2,0.84,2.6,0.55,4.2,0.45
0304,M,2,2.6,0.89,5.0,0.0,3.8,0.84,4.2,1.79
0305,M,1,2.0,1.41,4.4,0.89,3.8,1.79,3.8,1.79
0306,F,1,2.8,1.3,3.0,0.71,3.8,1.3,4.0,1.41
0307,M,1,2.2,0.84,1.8,0.84,3.4,0.89,1.8,0.84
0307,M,2,2.6,0.89,2.0,0.71,3.8,0.45,2.8,0.84
0307,M,3,2.0,0.71,4.0,0.0,3.2,1.3,3.8,1.1
0308,F,1,2.2,1.3,2.8,1.3,2.8,1.3,4.2,0.84
0308,F,2,5.0,0.0,2.6,1.14,4.2,1.79,4.0,1.73
0309,F,1,2.0,1.0,3.0,1.0,3.2,0.84,4.4,0.89
0309,F,2,4.8,0.45,2.2,1.1,4.2,1.79,4.2,1.3
0310,F,1,1.8,0.84,2.6,1.14,2.2,0.45,4.0,1.0
0310,F,2,4.8,0.45,2.0,1.22,4.2,1.79,3.8,1.3
0401,M,1,2.0,0.71,1.4,0.55,1.4,0.55,1.4,0.55
0401,M,2,2.0,0.71,2.2,0.45,1.4,0.55,2.8,0.45
0401,M,3,2.2,1.1,3.0,1.0,2.2,1.3,4.2,0.45
0401,M,4,2.8,0.84,3.2,0.84,3.2,0.84,4.2,0.45
0401,M,5,2.6,1.14,4.8,0.45,4.2,0.84,4.0,1.73
0402,F,1,3.8,0.84,2.0,1.41,4.6,0.89,2.0,1.41
0402,F,2,5.0,0.0,1.6,0.55,4.2,1.79,4.0,1.41
0403,M,1,2.8,1.3,2.8,0.84,4.4,0.89,3.0,1.0
0403,M,2,2.6,1.34,3.4,1.14,4.4,0.89,4.2,1.3
0501,M,1,1.4,0.55,1.4,0.55,1.2,0.45,1.4,0.55
0501,M,2,2.0,1.0,1.4,0.55,2.4,0.89,1.4,0.55
0501,M,3,2.4,1.14,1.8,0.84,3.8,0.45,3.0,1.22
0501,M,4,2.2,1.3,5.0,0.0,3.4,1.52,4.0,1.73
0502,M,1,2.0,1.22,4.2,0.84,2.4,1.14,4.0,1.41
0502,M,2,2.2,1.3,5.0,0.0,3.8,1.3,4.2,1.79
0503,F,1,3.2,0.84,2.4,0.55,4.0,1.0,3.0,1.0
0503,F,2,4.8,0.45,1.8,1.3,4.0,1.73,3.8,1.64
0504,M,1,1.4,0.55,2.6,0.89,1.4,0.55,3.2,0.84
0504,M,2,1.4,0.55,3.0,1.0,1.8,1.1,4.4,0.89
0504,M,3,2.2,1.3,4.2,0.84,3.4,1.52,3.8,1.64
0601,,1,1.4,0.55,1.4,0.55,1.2,0.45,1.4,0.55
0601,,2,2.0,1.0,2.8,1.1,3.0,0.71,3.6,0.89
0601,,3,2.6,1.34,2.8,1.64,3.4,1.14,3.6,0.89
0801,,1,1.8,0.84,1.4,0.55,2.4,0.89,1.4,0.55
0801,,2,1.4,0.55,1.2,0.45,1.2,0.45,1.2,0.45
0802,,1,1.2,0.45,1.4,0.55,1.2,0.45,1.2,0.45
0802,,2,1.2,0.45,1.2,0.45,1.2,0.45,1.4,0.55
