scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.3,2.05,3.1,4.65,1.0,2.0,2.15,
0102,1.3,2.05,2.3,2.75,1.15,1.68,2.2,
0105,1.3,2.05,3.05,3.65,1.21,2.0,2.3,
0106,1.3,2.05,2.8,4.1,1.4,2.05,2.15,1.5
0107,1.3,2.25,4.4,5.0,1.3,1.5,1.55,
0108,1.3,2.05,4.0,,1.21,1.58,1.95,
0201,1.3,2.05,2.65,2.98,1.55,2.05,2.2,
0203,1.3,1.85,3.15,5.0,1.15,1.95,1.3,
03a02,1.6,1.5,2.85,4.1,1.25,1.72,2.2,
03a03,1.6,1.5,2.8,4.42,1.25,2.05,2.1,
03a04,1.6,1.5,2.75,3.3,1.3,1.65,2.25,
03a06,1.6,1.5,2.4,4.95,1.27,1.5,2.0,
03a07,1.6,1.5,3.9,,1.27,1.68,2.1,
03a08,1.6,1.5,3.15,,1.27,1.86,2.45,
03b05,1.6,1.5,1.95,3.55,1.9,2.3,2.35,
03b06,1.6,1.5,1.65,4.35,2.28,2.65,2.5,
03b07,1.6,1.5,1.95,4.5,2.28,2.9,2.35,
03b12,1.6,1.5,1.85,4.7,2.65,2.42,2.2,
0402,1.45,1.8,2.65,3.68,1.9,2.15,2.1,
0403,1.6,1.5,3.25,5.0,2.15,1.92,1.7,
0404,1.6,1.5,2.45,3.65,2.15,2.45,2.3,
0503,1.1,1.1,1.6,4.9,1.52,2.15,1.75,
0505,1.1,1.52,2.95,4.55,1.44,1.55,2.0,
0506,1.1,1.52,2.55,4.45,1.44,2.05,1.9,
0508,1.1,1.95,2.35,3.35,1.35,1.65,1.95,
0603,1.6,1.5,2.15,2.4,1.5,1.75,2.3,
