scene,p1_start,p1_gaze,p1_gesture,p1_end,p2_start,p2_gaze,p2_gesture,p2_end
0101,1.5,nan,4.6,4.85,1.0,3.2,3.85,nan
0102,nan,nan,3.55,4.05,1.45,nan,3.75,nan
0105,nan,nan,4.4,4.6,nan,2.8,4.0,nan
0106,nan,nan,4.3,4.6,1.6,2.95,3.75,4.15
0107,nan,3.05,4.75,4.95,1.3,2.7,3.85,nan
0108,nan,nan,4.75,nan,nan,nan,4.1,nan
0201,nan,nan,4.0,3.85,1.8,2.95,3.8,nan
0203,nan,2.45,4.45,4.95,1.3,2.95,4.45,nan
03a02,nan,nan,4.3,4.65,1.5,nan,4.1,nan
03a03,nan,nan,4.35,4.775,1.4,3.1,4.15,nan
03a04,nan,nan,4.1,4.3,1.55,2.7,3.8,nan
03a06,nan,nan,4.1,4.95,nan,2.3,4.05,nan
03a07,nan,nan,4.35,nan,nan,nan,4.7,nan
03a08,nan,nan,4.6,nan,nan,nan,3.95,nan
03b05,nan,1.65,2.85,4.3,2.7,3.55,3.45,nan
03b06,nan,nan,2.6,4.45,nan,3.85,4.1,nan
03b07,nan,nan,2.8,4.65,nan,4.15,4.25,nan
03b12,nan,nan,2.55,4.85,3.95,nan,4.0,nan
0402,1.55,2.3,4.0,4.4,1.9,3.0,4.15,nan
0403,nan,nan,4.55,4.85,2.45,nan,4.2,nan
0404,nan,nan,2.8,4.15,nan,4.7,4.7,nan
0503,1.15,1.1,2.45,4.65,1.8,3.55,3.7,nan
0505,nan,nan,4.05,4.7,nan,2.45,3.75,nan
0506,nan,nan,3.95,4.65,nan,2.85,4.0,nan
0508,nan,2.7,4.0,4.25,1.525,nan,3.6,nan
0603,1.8,nan,3.6,3.45,1.65,2.9,3.4,nan
