code,average
rating010101[ImasM],1.3
rating010101[ImasF],1.0
rating010101[WtiM],1.5
rating010101[WtiF],1.0
rating010102[ImasM],3.1
rating010102[ImasF],2.0
rating010102[WtiM],4.6
rating010102[WtiF],3.2
rating010103[ImasM],4.65
rating010103[ImasF],2.15
rating010103[WtiM],4.85
rating010103[WtiF],3.85
realistic0101,3.95
frequency0101,2.95
rating010201[ImasM],1.15
rating010201[ImasF],2.3
rating010201[WtiM],1.45
rating010201[WtiF],3.55
rating010202[ImasM],2.2
rating010202[ImasF],2.75
rating010202[WtiM],3.75
rating010202[WtiF],4.05
realistic0102,4.0
frequency0102,3.05
rating010501[ImasM],2.0
rating010501[ImasF],3.05
rating010501[WtiM],2.8
rating010501[WtiF],4.4
rating010502[ImasM],2.3
rating010502[ImasF],3.65
rating010502[WtiM],4.0
rating010502[WtiF],4.6
realistic0105,4.05
frequency0105,3.1
rating010601[ImasM],2.8
rating010601[ImasF],1.4
rating010601[WtiM],4.3
rating010601[WtiF],1.6
rating010602[ImasM],3.2
rating010602[ImasF],2.05
rating010602[WtiM],4.3
rating010602[WtiF],2.95
rating010603[ImasM],4.1
rating010603[ImasF],2.15
rating010603[WtiM],4.6
rating010603[WtiF],3.75
rating010604[ImasM],5.0
rating010604[ImasF],1.5
rating010604[WtiM],4.9
rating010604[WtiF],4.15
realistic0106,4.15
frequency0106,2.9
rating010701[ImasM],1.3
rating010701[ImasF],2.25
rating010701[WtiM],1.3
rating010701[WtiF],3.05
rating010702[ImasM],1.5
rating010702[ImasF],4.4
rating010702[WtiM],2.7
rating010702[WtiF],4.75
rating010703[ImasM],1.55
rating010703[ImasF],5.0
rating010703[WtiM],3.85
rating010703[WtiF],4.95
realistic0107,3.95
frequency0107,3.05
rating010801[ImasM],1.95
rating010801[ImasF],4.0
rating010801[WtiM],4.1
rating010801[WtiF],4.75
realistic0108,3.6
frequency0108,2.9
rating020101[ImasM],2.65
rating020101[ImasF],1.55
rating020101[WtiM],4.0
rating020101[WtiF],1.8
rating020102[ImasM],2.85
rating020102[ImasF],2.05
rating020102[WtiM],4.0
rating020102[WtiF],2.95
rating020103[ImasM],3.1
rating020103[ImasF],2.2
rating020103[WtiM],3.7
rating020103[WtiF],3.8
realistic0201,2.85
frequency0201,2.0
rating020301[ImasM],1.15
rating020301[ImasF],1.85
rating020301[WtiM],1.3
rating020301[WtiF],2.45
rating020302[ImasM],1.95
rating020302[ImasF],3.15
rating020302[WtiM],2.95
rating020302[WtiF],4.45
rating020303[ImasM],1.3
rating020303[ImasF],5.0
rating020303[WtiM],4.45
rating020303[WtiF],4.95
realistic0203,3.55
frequency0203,2.4
rating03a0201[ImasM],1.25
rating03a0201[ImasF],2.85
rating03a0201[WtiM],1.5
rating03a0201[WtiF],4.3
rating03a0202[ImasM],2.2
rating03a0202[ImasF],4.1
rating03a0202[WtiM],4.1
rating03a0202[WtiF],4.65
realistic03a02,4.05
frequency03a02,3.0
rating03a0301[ImasM],1.25
rating03a0301[ImasF],2.8
rating03a0301[WtiM],1.4
rating03a0301[WtiF],4.35
rating03a0302[ImasM],2.05
rating03a0302[ImasF],3.9
rating03a0302[WtiM],3.1
rating03a0302[WtiF],4.55
rating03a0303[ImasM],2.1
rating03a0303[ImasF],4.95
rating03a0303[WtiM],4.15
rating03a0303[WtiF],5.0
realistic03a03,4.15
frequency03a03,3.1
rating03a0401[ImasM],2.75
rating03a0401[ImasF],1.3
rating03a0401[WtiM],4.1
rating03a0401[WtiF],1.55
rating03a0402[ImasM],2.85
rating03a0402[ImasF],1.65
rating03a0402[WtiM],4.1
rating03a0402[WtiF],2.7
rating03a0403[ImasM],3.75
rating03a0403[ImasF],2.25
rating03a0403[WtiM],4.5
rating03a0403[WtiF],3.8
realistic03a04,4.0
frequency03a04,3.05
rating03a0601[ImasM],2.4
rating03a0601[ImasF],1.5
rating03a0601[WtiM],4.1
rating03a0601[WtiF],2.3
rating03a0602[ImasM],4.95
rating03a0602[ImasF],2.0
rating03a0602[WtiM],4.95
rating03a0602[WtiF],4.05
realistic03a06,4.15
frequency03a06,3.25
rating03a0701[ImasM],3.9
rating03a0701[ImasF],2.1
rating03a0701[WtiM],4.35
rating03a0701[WtiF],4.7
realistic03a07,3.8
frequency03a07,2.7
rating03a0801[ImasM],2.45
rating03a0801[ImasF],3.15
rating03a0801[WtiM],3.95
rating03a0801[WtiF],4.6
realistic03a08,3.8
frequency03a08,2.9
rating03b0501[ImasM],1.5
rating03b0501[ImasF],1.9
rating03b0501[WtiM],1.65
rating03b0501[WtiF],2.7
rating03b0502[ImasM],1.95
rating03b0502[ImasF],2.3
rating03b0502[WtiM],2.85
rating03b0502[WtiF],3.55
rating03b0503[ImasM],3.55
rating03b0503[ImasF],2.35
rating03b0503[WtiM],4.3
rating03b0503[WtiF],3.45
realistic03b05,3.9
frequency03b05,3.15
rating03b0601[ImasM],2.65
rating03b0601[ImasF],1.65
rating03b0601[WtiM],3.85
rating03b0601[WtiF],2.6
rating03b0602[ImasM],2.5
rating03b0602[ImasF],4.35
rating03b0602[WtiM],4.1
rating03b0602[WtiF],4.45
realistic03b06,3.95
frequency03b06,3.0
rating03b0701[ImasM],2.9
rating03b0701[ImasF],1.95
rating03b0701[WtiM],4.15
rating03b0701[WtiF],2.8
rating03b0702[ImasM],2.35
rating03b0702[ImasF],4.5
rating03b0702[WtiM],4.25
rating03b0702[WtiF],4.65
realistic03b07,4.0
frequency03b07,2.95
rating03b1201[ImasM],2.65
rating03b1201[ImasF],1.85
rating03b1201[WtiM],3.95
rating03b1201[WtiF],2.55
rating03b1202[ImasM],2.2
rating03b1202[ImasF],4.7
rating03b1202[WtiM],4.0
rating03b1202[WtiF],4.85
realistic03b12,3.75
frequency03b12,2.85
rating040201[ImasM],1.45
rating040201[ImasF],1.7
rating040201[WtiM],1.55
rating040201[WtiF],1.65
rating040202[ImasM],1.8
rating040202[ImasF],1.95
rating040202[WtiM],2.3
rating040202[WtiF],1.9
rating040203[ImasM],2.65
rating040203[ImasF],2.05
rating040203[WtiM],4.0
rating040203[WtiF],2.15
rating040204[ImasM],3.1
rating040204[ImasF],2.15
rating040204[WtiM],4.25
rating040204[WtiF],3.0
rating040205[ImasM],4.25
rating040205[ImasF],2.1
rating040205[WtiM],4.55
rating040205[WtiF],4.15
realistic0402,4.15
frequency0402,3.25
rating040301[ImasM],2.15
rating040301[ImasF],3.25
rating040301[WtiM],2.45
rating040301[WtiF],4.55
rating040302[ImasM],1.7
rating040302[ImasF],5.0
rating040302[WtiM],4.2
rating040302[WtiF],4.85
realistic0403,4.4
frequency0403,3.5
rating040401[ImasM],2.45
rating040401[ImasF],2.45
rating040401[WtiM],2.8
rating040401[WtiF],4.7
rating040402[ImasM],3.65
rating040402[ImasF],2.3
rating040402[WtiM],4.15
rating040402[WtiF],4.7
realistic0404,4.2
frequency0404,3.15
rating050301[ImasM],1.1
rating050301[ImasF],1.3
rating050301[WtiM],1.15
rating050301[WtiF],1.1
rating050302[ImasM],1.1
rating050302[ImasF],1.75
rating050302[WtiM],1.1
rating050302[WtiF],2.5
rating050303[ImasM],1.6
rating050303[ImasF],2.15
rating050303[WtiM],2.45
rating050303[WtiF],3.55
rating050304[ImasM],4.9
rating050304[ImasF],1.75
rating050304[WtiM],4.65
rating050304[WtiF],3.7
realistic0503,3.4
frequency0503,2.6
rating050501[ImasM],2.95
rating050501[ImasF],1.55
rating050501[WtiM],4.05
rating050501[WtiF],2.45
rating050502[ImasM],4.55
rating050502[ImasF],2.0
rating050502[WtiM],4.7
rating050502[WtiF],3.75
realistic0505,3.3
frequency0505,2.45
rating050601[ImasM],2.05
rating050601[ImasF],2.55
rating050601[WtiM],2.85
rating050601[WtiF],3.95
rating050602[ImasM],1.9
rating050602[ImasF],4.45
rating050602[WtiM],4.0
rating050602[WtiF],4.65
realistic0506,3.8
frequency0506,2.95
rating050801[ImasM],1.95
rating050801[ImasF],1.2
rating050801[WtiM],2.7
rating050801[WtiF],1.35
rating050802[ImasM],2.35
rating050802[ImasF],1.5
rating050802[WtiM],4.0
rating050802[WtiF],1.7
rating050803[ImasM],3.35
rating050803[ImasF],1.95
rating050803[WtiM],4.25
rating050803[WtiF],3.6
realistic0508,3.6
frequency0508,2.65
rating060301[ImasM],1.6
rating060301[ImasF],1.5
rating060301[WtiM],1.8
rating060301[WtiF],1.65
rating060302[ImasM],2.15
rating060302[ImasF],1.75
rating060302[WtiM],3.6
rating060302[WtiF],2.9
rating060303[ImasM],2.4
rating060303[ImasF],2.3
rating060303[WtiM],3.45
rating060303[WtiF],3.4
realistic0603,4.6
frequency0603,4.05
rating080101[ImasM],1.15
rating080101[ImasF],1.7
rating080101[WtiM],1.2
rating080101[WtiF],2.2
rating080102[ImasM],1.1
rating080102[ImasF],1.1
rating080102[WtiM],1.05
rating080102[WtiF],1.05
realistic0801,4.95
frequency0801,4.65
rating080201[ImasM],1.05
rating080201[ImasF],1.15
rating080201[WtiM],1.05
rating080201[WtiF],1.15
rating080202[ImasM],1.0
rating080202[ImasF],1.1
rating080202[WtiM],1.05
rating080202[WtiF],1.15
realistic0802,4.95
frequency0802,4.85
