scene,crossing,cut,ImasF mean,ImasF std,ImasM mean,ImasM std,WtiF mean,WtiF std,WtiM mean,WtiM std
0101,M,1,1.0,0.0,1.3,0.57,1.0,0.0,1.5,0.61
0101,M,2,2.0,0.46,3.1,0.64,3.2,0.41,4.6,0.68
0101,M,3,2.15,0.75,4.65,0.59,3.85,0.75,4.85,0.37
0102,F,1,2.3,0.86,1.15,0.37,3.55,1.23,1.45,0.6
0102,F,2,2.75,0.79,2.2,0.62,4.05,0.89,3.75,1.02
0103,F,1,3.05,0.83,2.0,0.73,4.4,0.68,2.8,0.7
0103,F,2,3.65,1.09,2.3,0.8,4.6,0.6,4.0,0.86
0104,M,1,1.4,0.68,2.8,1.01,1.6,0.88,4.3,0.8
0104,M,2,2.05,0.69,3.2,1.01,2.95,0.6,4.3,0.73
0104,M,3,2.15,0.67,4.1,0.91,3.75,0.97,4.6,0.75
0104,M,4,1.5,0.61,5.0,0.0,4.15,0.81,4.9,0.31
0105,F,1,2.25,0.97,1.3,0.47,3.05,0.83,1.3,0.57
0105,F,2,4.4,0.75,1.5,0.61,4.75,0.44,2.7,0.66
0105,F,3,5.0,0.0,1.55,0.69,4.95,0.22,3.85,0.81
0106,F,1,4.0,0.92,1.95,0.69,4.75,0.44,4.1,0.79
0201,M,1,1.55,0.69,2.65,0.99,1.8,0.83,4.0,0.73
0201,M,2,2.05,0.51,2.85,0.81,2.95,0.76,4.0,0.73
0201,M,3,2.2,0.77,3.1,0.97,3.8,1.01,3.7,0.86
0202,F,1,1.85,0.75,1.15,0.37,2.45,0.89,1.3,0.57
0202,F,2,3.15,0.93,1.95,0.69,4.45,0.6,2.95,0.69
0202,F,3,5.0,0.0,1.3,0.47,4.95,0.22,4.45,1.0
0301,F,1,2.85,1.04,1.25,0.55,4.3,0.73,1.5,0.76
0301,F,2,4.1,0.97,2.2,0.7,4.65,0.59,4.1,0.79
0302,F,1,2.8,1.06,1.25,0.55,4.35,0.59,1.4,0.68
0302,F,2,3.9,0.79,2.05,0.76,4.55,0.51,3.1,0.85
0302,F,3,4.95,0.22,2.1,0.85,5.0,0.0,4.15,0.75
0303,M,1,1.3,0.57,2.75,1.16,1.55,0.76,4.1,0.85
0303,M,2,1.65,0.59,2.85,0.99,2.7,0.86,4.1,1.02
0303,M,3,2.25,0.72,3.75,1.07,3.8,1.06,4.5,0.76
0304,M,1,1.5,0.51,2.4,0.82,2.3,0.86,4.1,1.07
0304,M,2,2.0,0.73,4.95,0.22,4.05,0.83,4.95,0.22
0305,M,1,2.1,1.07,3.9,1.12,4.7,0.47,4.35,0.59
0306,F,1,3.15,0.93,2.45,0.89,4.6,0.68,3.95,0.89
0307,M,1,1.9,0.72,1.5,0.83,2.7,0.73,1.65,0.81
0307,M,2,2.3,0.86,1.95,0.69,3.55,0.89,2.85,0.88
0307,M,3,2.35,0.81,3.55,1.0,3.45,1.15,4.3,0.57
0308,F,1,1.65,0.81,2.65,0.88,2.6,1.05,3.85,0.99
0308,F,2,4.35,0.67,2.5,0.69,4.45,0.51,4.1,0.72
0309,F,1,1.95,0.89,2.9,1.02,2.8,0.89,4.15,0.88
0309,F,2,4.5,0.69,2.35,0.67,4.65,0.49,4.25,0.91
0310,F,1,1.85,0.81,2.65,0.93,2.55,1.15,3.95,0.89
0310,F,2,4.7,0.92,2.2,0.89,4.85,0.37,4.0,0.79
0401,M,1,1.7,0.8,1.45,0.76,1.65,1.04,1.55,0.76
0401,M,2,1.95,0.89,1.8,1.01,1.9,1.17,2.3,1.03
0401,M,3,2.05,1.1,2.65,1.09,2.15,1.27,4.0,0.79
0401,M,4,2.15,0.88,3.1,1.07,3.0,0.86,4.25,0.79
0401,M,5,2.1,0.91,4.25,0.79,4.15,0.75,4.55,0.6
0402,F,1,3.25,1.02,2.15,1.18,4.55,0.76,2.45,1.15
0402,F,2,5.0,0.0,1.7,0.66,4.85,0.49,4.2,0.77
0403,M,1,2.45,0.94,2.45,1.0,4.7,0.47,2.8,0.83
0403,M,2,2.3,0.86,3.65,1.04,4.7,0.47,4.15,0.81
0501,M,1,1.3,0.66,1.1,0.31,1.1,0.31,1.15,0.49
0501,M,2,1.75,0.72,1.1,0.31,2.5,0.89,1.1,0.31
0501,M,3,2.15,0.99,1.6,0.75,3.55,1.0,2.45,0.89
0501,M,4,1.75,0.64,4.9,0.31,3.7,1.17,4.65,0.67
0502,M,1,1.55,0.69,2.95,1.05,2.45,0.94,4.05,0.89
0502,M,2,2.0,0.73,4.55,0.51,3.75,0.91,4.7,0.57
0503,F,1,2.55,0.83,2.05,0.76,3.95,0.83,2.85,0.67
0503,F,2,4.45,0.76,1.9,0.85,4.65,0.59,4.0,0.86
0504,M,1,1.2,0.41,1.95,1.0,1.35,0.49,2.7,0.8
0504,M,2,1.5,0.69,2.35,0.93,1.7,0.73,4.0,0.79
0504,M,3,1.95,0.69,3.35,0.93,3.6,0.94,4.25,0.64
0601,,1,1.5,0.61,1.6,0.68,1.65,0.67,1.8,0.7
0601,,2,1.75,0.79,2.15,0.67,2.9,0.79,3.6,0.99
0601,,3,2.3,0.86,2.4,0.82,3.4,1.05,3.45,1.0
0801,,1,1.7,0.86,1.15,0.37,2.2,0.95,1.2,0.52
0801,,2,1.1,0.31,1.1,0.31,1.05,0.22,1.05,0.22
0802,,1,1.15,0.37,1.05,0.22,1.15,0.37,1.05,0.22
0802,,2,1.1,0.31,1.0,0.0,1.15,0.37,1.05,0.22
