scene,p1,p2,start,p1_gaze,p1_gesture,p2_gaze,p2_gesture,end
0101,m,f,1,,2,2,3,
0102,f,m,,,1,,2,
0105,f,m,,,1,1,2,
0106,m,f,,,1,2,3,4
0107,f,m,,1,2,2,3,
0108,f,m,,,1,,1,
0201,m,f,,,1,2,3,
0203,f,m,,1,2,2,3,
03a02,f,m,,,1,,2,
03a03,f,m,,,1,2,3,
03a04,m,f,,,1,2,3,
03a06,m,f,,,1,1,2,
03a07,m,f,,,1,,1,
03a08,f,m,,,1,,1,
03b05,m,f,,1,2,2,3,
03b06,f,m,,,1,1,2,
03b07,f,m,,,1,1,2,
03b12,f,m,,,1,,2,
0402,m,f,1,2,3,4,5,
0403,f,m,,,1,,2,
0404,m,f,,,1,1,2,
0503,m,f,1,2,3,3,4,
0505,m,f,,,1,1,2,
0506,f,m,,,1,1,2,
0508,m,f,,1,2,,3,
0603,m,f,1,,2,2,3,
